State	year	adult_pop	ins_employer	ins_direct	ins_medicare	ins_medicaid	uninsured
Texas	2014	16366994	8536212	1218066	186073	911596	4204601
Utah	2014	1722815	1081490	160536	12503	68914	278747
Vermont	2014	395850	228104	31170	4459	66980	27943
Virginia	2014	5129648	3015141	424749	69180	214657	764219
Washington	2014	4382463	2512470	368067	46196	447605	560535
West Virginia	2014	1118678	596709	45112	26854	182005	144429
Wisconsin	2014	3540472	2258898	279276	33656	326060	357262
Wyoming	2014	359462	215860	32452	2399	14199	59981
Alabama	2015	2931080	1588401	251217	68427	221829	448318
Alaska	2015	457079	230786	29699	1532	36934	85567
Arizona	2015	3992074	2023961	360611	52446	602255	581692
Arkansas	2015	1759383	885346	166277	43004	218125	239884
California	2015	24451851	12778221	2427618	227484	4334047	2952902
Colorado	2015	3416438	1933299	369598	29775	401818	375168
Connecticut	2015	2232650	1392377	196090	19773	300233	181812
Delaware	2015	570682	346769	41570	8550	76185	46357
District of Columbia	2015	469590	272000	49774	2415	80853	22614
Florida	2015	11988187	5732967	1657227	175258	1008569	2325241
Georgia	2015	6254418	3385116	583232	86993	382658	1210998
Hawaii	2015	831201	518317	51938	6261	91561	48071
Idaho	2015	961905	509559	135762	8621	56152	155134
Illinois	2015	7958577	4832760	711522	86531	1006754	810187
Indiana	2015	4015170	2467898	313840	62255	333518	517333
Iowa	2015	1876389	1195987	185019	14367	182110	128392
Kansas	2015	1724059	1054202	181785	18447	74104	222500
Kentucky	2015	2682955	1447315	179169	68442	475049	216282
Louisiana	2015	2820771	1478473	255088	51218	256405	503139
Maine	2015	816194	457758	80659	10989	80892	95706
Maryland	2015	3738785	2323287	298944	38874	397583	327978
Massachusetts	2015	4328437	2713315	313363	31787	733387	169825
Michigan	2015	6073123	3578699	481650	73789	859533	523682
Minnesota	2015	3376832	2159915	323327	28234	412439	203390
Mississippi	2015	1773478	873978	147122	35631	170743	340728
Missouri	2015	3667679	2205535	343541	63305	219330	498533
Montana	2015	618119	324220	87018	7844	34670	100941
Nebraska	2015	1130499	703735	135475	9723	44510	127951
Nevada	2015	1770634	958922	144393	27317	195206	290465
New Hampshire	2015	840967	563254	66728	13641	56148	75596
New Jersey	2015	5553122	3531262	389919	58931	580781	679315
New Mexico	2015	1226223	539547	84894	18880	252315	198242
New York	2015	12481696	7111884	876393	122755	2178008	1253516
North Carolina	2015	6099130	3205510	693608	92082	451201	996399
North Dakota	2015	468080	287821	60149	3029	22989	43584
Ohio	2015	7045089	4312848	449934	115818	977407	622066
Oklahoma	2015	2313940	1236880	202718	46814	142719	458388
Oregon	2015	2481134	1326353	243675	28125	393228	246724
Pennsylvania	2015	7812487	4897047	719198	90831	787062	680862
Rhode Island	2015	667050	391854	56697	6168	98147	51477
South Carolina	2015	2938107	1580977	251958	49943	249327	475511
South Dakota	2015	504714	288133	62284	4814	23088	71572
Tennessee	2015	4017067	2167559	361742	79767	392963	600727
Texas	2015	16657157	8918734	1440845	200185	918517	3873285
Utah	2015	1757716	1115081	192389	11671	70081	242296
Vermont	2015	393856	229413	32222	4711	68289	22406
Virginia	2015	5133209	3020861	483691	68929	247081	644682
Washington	2015	4440161	2562936	409055	47355	536953	418445
West Virginia	2015	1109345	591777	59898	28519	214197	96912
Wisconsin	2015	3535927	2306460	303628	31426	340075	273369
Wyoming	2015	357200	214102	37219	2529	13913	55394
Alabama	2016	2921503	1606132	267663	64794	210688	404855
Alaska	2016	457184	237462	25621	2343	42176	81387
Arizona	2016	4036165	2077734	361619	49321	647091	554091
Arkansas	2016	1757516	901078	165878	40440	246660	204066
California	2016	24431848	12951851	2409125	230964	4529147	2521235
Colorado	2016	3461702	1984229	354955	33270	420114	353834
Connecticut	2016	2217434	1391256	195772	22122	312147	148754
Delaware	2016	571596	349334	42203	9011	78333	45282
District of Columbia	2016	473878	272379	46470	2433	90598	22012
Florida	2016	12137388	5885881	1688597	185504	1037770	2234427
Georgia	2016	6284159	3421761	606378	88590	384633	1134011
Hawaii	2016	832435	518667	55268	6508	96339	40950
Idaho	2016	974803	531287	132530	9486	54716	145700
Illinois	2016	7892615	4832555	706700	83264	1005611	729815
Indiana	2016	4003711	2467830	315919	64521	387034	432020
Iowa	2016	1875205	1201461	178496	13122	197428	112350
Kansas	2016	1718393	1046913	180245	21114	76240	215770
Kentucky	2016	2679027	1458130	178732	62889	495818	189249
Louisiana	2016	2807699	1435742	259789	54487	345175	433797
Maine	2016	812942	462152	81088	9828	77388	94113
